                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2001,                 1.9273,                 1.0408,                 1.2195,                0.49464,                0.41818,                0.38603,                0.19506,                0.47257,                0.37471,                0.36314,                0.15614,                 1.8037,                 3.5066,                 2.1789,                 1.5926,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.2202,                 2.0061,                 1.1102,                 1.2591,                0.43193,                0.40909,                0.33758,                0.17164,                0.51117,                0.29473,                0.30188,                0.14758,                 1.7141,                 3.4318,                 2.2673,                 1.5774,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.1884,                 1.9155,                 1.0258,                 1.2429,                0.36544,                0.28798,                0.24972,                0.11888,                0.32629,                0.27273,                0.22067,                 0.1077,                  1.837,                 3.6868,                 2.7717,                   1.69,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.1527,                 1.8497,                0.97632,                 1.1767,                0.48203,                0.35455,                0.31527,                0.15177,                 0.4269,                    0.3,                 0.2542,                0.11641,                 1.7924,                 3.3108,                 2.5395,                 1.6617,               0.001604,               0.001604,               0.001604
                     63,                 1.2024,                 1.8621,                 1.0192,                 1.2231,                0.63517,                0.37273,                  0.386,                0.20568,                0.59733,                0.33636,                0.33649,                0.16093,                 1.6952,                 3.2032,                 2.1804,                 1.5675,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.2432,                 1.8831,                 1.0331,                 1.2326,                0.60022,                0.37273,                0.39032,                0.17999,                0.58258,                0.36364,                0.35245,                0.18032,                 1.7291,                 3.0872,                 2.0705,                 1.6172,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.1307,                  1.849,                0.99125,                 1.1787,                0.58136,                0.35455,                0.36776,                0.18328,                0.53552,                0.32727,                0.32074,                0.17319,                 1.7192,                 3.1362,                  2.244,                 1.6217,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.1354,                 1.7882,                0.97069,                   1.18,                0.58438,                0.34545,                 0.3549,                0.17225,                  0.569,                0.33636,                0.31307,                0.17215,                 1.7516,                 3.2104,                 2.2352,                 1.6414,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.1568,                 1.8697,                0.98246,                 1.1905,                 0.6137,                0.38182,                0.39954,                0.19602,                0.53074,                0.33636,                0.34701,                 0.1765,                 1.7579,                 3.1154,                 2.0929,                 1.6638,               0.001571,               0.001571,               0.001571
                     68,                 1.1538,                 1.8099,                0.97307,                 1.2037,                0.69942,                0.30909,                0.41744,                0.20668,                0.76188,                0.27273,                0.36788,                 0.1894,                 1.7427,                 3.3607,                 2.0031,                 1.6798,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.1439,                 1.7777,                0.96275,                 1.1819,                0.46991,                0.41818,                0.42328,                0.21661,                0.42933,                0.38182,                0.35642,                0.18381,                 1.7224,                 3.2275,                 1.9184,                 1.6324,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.0868,                 1.8023,                0.93986,                  1.177,                0.51409,                0.32702,                0.31078,                0.17073,                0.48361,                0.31818,                 0.2529,                0.12376,                 1.7571,                  3.382,                 2.2286,                 1.7622,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.0379,                 1.6187,                0.90437,                 1.1486,                0.48127,                0.35455,                0.33488,                0.19357,                0.44447,                0.31818,                 0.2977,                0.16146,                  1.668,                  3.297,                 1.9844,                  1.655,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.1328,                 1.7844,                0.95298,                 1.2001,                0.50301,                    0.4,                0.37273,                0.18352,                0.43267,                0.34545,                0.31297,                0.16108,                 1.7939,                 3.4078,                 1.9983,                 1.7127,               0.001538,               0.001538,               0.001538
                     73,                 1.1021,                 1.7821,                0.94785,                 1.1826,                0.55685,                0.34545,                0.37398,                0.18675,                0.52644,                0.32727,                0.32258,                0.14998,                 1.7353,                 3.4413,                 2.0124,                 1.6814,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.0854,                 1.7631,                0.94312,                 1.1924,                0.42078,                0.34343,                0.32273,                0.16486,                0.49923,                0.27273,                0.29628,                0.13852,                 1.7951,                 3.4309,                 2.2287,                 1.7171,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.0866,                 1.7074,                0.93293,                 1.1518,                0.61675,                0.31818,                0.36192,                0.19841,                0.57322,                0.28182,                0.31618,                0.16736,                 1.7521,                 3.8976,                  2.166,                 1.6927,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.0709,                 1.7392,                0.90279,                  1.176,                0.46614,                    0.4,                0.37745,                0.20975,                0.48292,                0.37273,                0.35637,                0.18629,                 1.7699,                 3.5294,                 2.1235,                 1.6889,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.0077,                 1.6042,                0.82202,                 1.1196,                0.42535,                0.46364,                0.42322,                0.23034,                0.67195,                0.30909,                0.38588,                 0.2141,                 1.6705,                 2.9731,                 1.8335,                 1.5448,               0.001505,               0.001505,               0.001505
                     78,                 1.0743,                 1.7443,                0.88984,                  1.151,                0.62433,                    0.4,                0.43331,                0.23002,                0.58363,                0.37273,                0.40257,                 0.1893,                 1.6646,                 3.0603,                 1.7397,                 1.5853,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.0472,                 1.7961,                0.87616,                 1.1553,                0.75103,                0.38182,                0.47986,                0.25117,                0.64367,                0.39415,                0.43515,                0.20294,                 1.6308,                 3.0635,                 1.6838,                 1.5905,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.1242,                 1.7321,                0.94106,                 1.1885,                0.62358,                0.46364,                0.49085,                 0.2649,                0.55029,                    0.4,                0.38734,                 0.1945,                 1.6181,                 3.2804,                 1.7757,                 1.5195,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.0479,                  1.628,                0.89692,                 1.1399,                0.66974,                0.46364,                0.44778,                0.24495,                0.58639,                0.40909,                0.37609,                0.19605,                 1.6774,                 3.4236,                 1.7643,                 1.6078,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.0365,                 1.6904,                0.86485,                 1.1502,                0.49117,                0.45455,                0.40649,                0.19845,                0.48013,                0.40909,                0.34726,                 0.1607,                 1.7406,                 3.5643,                  1.949,                 1.6579,               0.001472,               0.001472,               0.001472
                     83,                 1.0305,                 1.6548,                0.86076,                 1.1614,                0.53273,                0.41818,                 0.4104,                0.20616,                0.46216,                0.36364,                 0.3423,                0.16436,                 1.7673,                 3.5517,                 1.9064,                 1.7236,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.0771,                 1.7112,                0.90053,                 1.1695,                0.55267,                0.35944,                0.38428,                 0.1815,                0.58903,                0.27273,                0.32675,                0.15832,                 1.8162,                 3.3123,                 2.1524,                 1.7301,              0.0014588,              0.0014588,              0.0014588
