                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4589,                 1.1109,                 1.3499,                0.48908,                0.30769,                0.37501,                0.15646,                 2.3809,                 2.0593,                 2.0816,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.4685,                 1.1589,                  1.387,                0.61099,                   0.25,                0.34851,                0.15898,                 2.3649,                 2.1192,                 2.0887,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.4039,                 1.1328,                 1.3527,                 0.4802,                0.32692,                 0.3545,                0.16554,                 2.3241,                 2.0545,                 2.0827,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.5175,                 1.1528,                 1.4404,                0.59454,                0.31027,                0.36179,                0.16081,                 2.0995,                 2.1932,                 1.8987,               0.001604,               0.001604,               0.001604
                     63,                 1.4501,                 1.0768,                 1.3613,                0.43133,                0.36538,                0.32672,                0.14074,                 2.4214,                 2.5274,                 2.1808,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.3997,                 1.0648,                 1.3412,                0.70351,                0.30769,                0.39215,                0.16015,                 2.3543,                 2.3557,                 2.0703,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.3743,                 1.1034,                 1.3329,                 0.6841,                0.34615,                 0.4094,                 0.1558,                 2.3182,                 2.2782,                 2.0085,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.5075,                 1.1402,                 1.3917,                0.52642,                0.44231,                0.43426,                0.16781,                 2.2669,                  2.121,                 1.9181,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.5014,                  1.125,                 1.4162,                 0.7067,                0.38462,                0.47954,                0.20462,                 2.2949,                 1.9012,                  1.926,               0.001571,               0.001571,               0.001571
                     68,                 1.3994,                 1.0806,                  1.358,                0.66674,                0.40385,                0.46323,                0.21347,                 2.3222,                 1.9807,                 1.9182,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.4114,                 1.1101,                 1.3502,                0.59547,                0.42308,                0.48431,                0.22524,                 2.3615,                 1.9211,                  1.987,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.4245,                 1.0687,                 1.3134,                0.56715,                0.51923,                0.49019,                0.21756,                 2.3361,                 1.7577,                 1.9211,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.4018,                 1.0511,                 1.3509,                0.66193,                0.34615,                0.39459,                0.16245,                 2.4122,                 1.9709,                 1.9773,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.3606,                 1.0971,                 1.3199,                0.63718,                0.38462,                0.42961,                0.16615,                 2.4669,                 1.9713,                 2.0751,               0.001538,               0.001538,               0.001538
                     73,                 1.3839,                 1.0535,                 1.3159,                0.50698,                0.46154,                0.40568,                0.17725,                 2.4055,                 2.0876,                 2.0441,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.3866,                  1.053,                 1.3239,                0.55886,                0.38462,                0.40325,                0.17282,                 2.3802,                 2.0974,                 2.0443,              0.0015248,              0.0015248,              0.0015248
                     75,                  1.321,                   0.98,                 1.2641,                0.66709,                0.38462,                0.43365,                0.18791,                 2.2882,                 2.2115,                 1.9903,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.3848,                 1.0305,                 1.3104,                 0.5449,                0.46154,                0.48538,                0.21198,                 2.2886,                 1.8886,                 1.9923,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.4004,                  1.168,                 1.3707,                0.70808,                0.42308,                0.49699,                0.20248,                 2.4134,                 1.9618,                 2.0334,               0.001505,               0.001505,               0.001505
                     78,                 1.4222,                 1.0337,                 1.3452,                0.56363,                0.49683,                  0.484,                0.19201,                 2.3551,                 2.0013,                 1.9777,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.3484,                0.99301,                 1.2822,                0.45668,                0.51923,                0.45641,                0.17983,                 2.4623,                   2.01,                 2.0782,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.3645,                 1.1469,                  1.335,                0.48382,                    0.5,                0.47547,                 0.2014,                 2.4204,                 1.9913,                 2.0039,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.3491,                0.93922,                 1.2551,                0.53582,                0.48077,                0.43717,                0.19286,                 2.4244,                 1.8993,                  2.027,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.3647,                 1.0048,                 1.2945,                0.59512,                0.42402,                0.46186,                0.19158,                 2.4113,                 1.9258,                 1.9795,               0.001472,               0.001472,               0.001472
